Province_State,Country_Region,Confirmed,Deaths
,Afghanistan,27285,1775
,Albania,598,1
,Algeria,32489,565
,Andorra,760,1
,Angola,3850,113
,Antigua and Barbuda,39,1
,Argentina,444296,11000
,Armenia,5118,102
Australian Capital Territory,Australia,0,0
New South Wales,Australia,3474,15
Northern Territory,Australia,15,0
Queensland,Australia,119,0
South Australia,Australia,55,0
Tasmania,Australia,0,0
Victoria,Australia,235,0
Western Australia,Australia,30,0
,Austria,8745,63
,Azerbaijan,8398,52
,Bahamas,2105,41
,Bahrain,3328,31
,Bangladesh,342769,6270
,Barbados,325,1
,Belarus,28786,311
Antwerp,Belgium,6585,0
Brussels,Belgium,6313,0
East Flanders,Belgium,4947,0
Flemish Brabant,Belgium,4850,0
Hainaut,Belgium,3920,0
Liege,Belgium,2300,0
Limburg,Belgium,2199,0
Luxembourg,Belgium,439,0
Namur,Belgium,814,0
Unknown,Belgium,911,61
Walloon Brabant,Belgium,1696,0
West Flanders,Belgium,3856,0
,Belize,863,8
,Benin,195,4
,Bhutan,414,1
,Bolivia,32613,1017
,Bosnia and Herzegovina,623,20
,Botswana,35247,411
Acre,Brazil,1411,59
Alagoas,Brazil,12839,461
Amapa,Brazil,3947,69
Amazonas,Brazil,14134,211
Bahia,Brazil,65884,1654
Ceara,Brazil,31688,892
Distrito Federal,Brazil,19714,366
Espirito Santo,Brazil,24302,390
Goias,Brazil,62853,1543
Maranhao,Brazil,18759,576
Mato Grosso,Brazil,36805,745
Mato Grosso do Sul,Brazil,19739,693
Minas Gerais,Brazil,162432,4152
Para,Brazil,16689,517
Paraiba,Brazil,25639,366
Parana,Brazil,88456,4315
Pernambuco,Brazil,39139,1088
Piaui,Brazil,12682,212
Rio Grande do Norte,Brazil,15653,293
Rio Grande do Sul,Brazil,149649,1850
Rio de Janeiro,Brazil,71825,3595
Rondonia,Brazil,9826,219
Roraima,Brazil,7232,108
Santa Catarina,Brazil,59043,1087
Sao Paulo,Brazil,318450,10717
Sergipe,Brazil,10382,201
Tocantins,Brazil,11901,292
,Brunei,76,0
,Bulgaria,3246,148
,Burkina Faso,103,1
,Burma,143318,6384
,Burundi,1598,1
,Cabo Verde,1228,11
,Cambodia,26530,792
,Cameroon,1206,10
Alberta,Canada,2308,27
British Columbia,Canada,2268,17
Diamond Princess,Canada,0,0
Grand Princess,Canada,0,0
Manitoba,Canada,1426,37
New Brunswick,Canada,51,1
Newfoundland and Labrador,Canada,51,0
Northwest Territories,Canada,0,0
Nova Scotia,Canada,47,1
Nunavut,Canada,0,0
Ontario,Canada,5358,160
Prince Edward Island,Canada,1,0
Quebec,Canada,2368,31
Repatriated Travellers,Canada,0,0
Saskatchewan,Canada,1206,10
Yukon,Canada,239,2
,Central African Republic,10,0
,Chad,22,0
Antofagasta,Chile,2138,78
Araucania,Chile,4084,177
Arica y Parinacota,Chile,1241,26
Atacama,Chile,1981,42
Aysen,Chile,377,11
Biobio,Chile,5205,213
Coquimbo,Chile,2600,124
Los Lagos,Chile,2918,137
Los Rios,Chile,3184,81
Magallanes,Chile,256,34
Maule,Chile,3839,159
Metropolitana,Chile,20128,1279
Nuble,Chile,1339,53
OHiggins,Chile,1972,144
Tarapaca,Chile,1315,51
Unknown,Chile,-1,0
Valparaiso,Chile,5809,331
Anhui,China,0,0
Beijing,China,17,0
Chongqing,China,5,0
Fujian,China,56,0
Gansu,China,4,0
Guangdong,China,141,0
Guangxi,China,2,0
Guizhou,China,0,0
Hainan,China,1,0
Hebei,China,0,0
Heilongjiang,China,0,0
Henan,China,30,0
Hong Kong,China,60,1
Hubei,China,36,0
Hunan,China,33,0
Inner Mongolia,China,14,0
Jiangsu,China,298,0
Jiangxi,China,0,0
Jilin,China,1,0
Liaoning,China,9,0
Macau,China,5,0
Ningxia,China,1,0
Qinghai,China,0,0
Shaanxi,China,32,0
Shandong,China,6,0
Shanghai,China,107,0
Shanxi,China,0,0
Sichuan,China,54,0
Tianjin,China,24,0
Tibet,China,0,0
Unknown,China,501,0
Xinjiang,China,0,0
Yunnan,China,412,0
Zhejiang,China,10,0
Amazonas,Colombia,220,7
Antioquia,Colombia,68558,1421
Arauca,Colombia,2067,105
Atlantico,Colombia,16383,238
Bolivar,Colombia,18542,325
Boyaca,Colombia,12663,368
Caldas,Colombia,8665,320
Capital District,Colombia,148400,2820
Caqueta,Colombia,1774,100
Casanare,Colombia,4489,143
Cauca,Colombia,9618,243
Cesar,Colombia,6408,216
Choco,Colombia,1623,36
Cordoba,Colombia,16773,459
Cundinamarca,Colombia,34041,762
Guainia,Colombia,165,6
Guaviare,Colombia,653,14
Huila,Colombia,13430,528
La Guajira,Colombia,1992,44
Magdalena,Colombia,7827,201
Meta,Colombia,12761,395
Narino,Colombia,8818,275
Norte de Santander,Colombia,11199,509
Putumayo,Colombia,1787,65
Quindio,Colombia,4993,194
Risaralda,Colombia,9306,270
San Andres y Providencia,Colombia,407,6
Santander,Colombia,24642,943
Sucre,Colombia,8366,186
Tolima,Colombia,13834,536
Unknown,Colombia,0,296
Valle del Cauca,Colombia,54307,1820
Vaupes,Colombia,54,2
Vichada,Colombia,352,8
,Comoros,85,1
,Congo (Brazzaville),491,12
,Congo (Kinshasa),8564,105
,Costa Rica,37274,356
,Cote d'Ivoire,1900,15
,Croatia,3783,54
,Cuba,200398,1543
,Cyprus,26301,47
,Czechia,6259,70
Faroe Islands,Denmark,207,1
Greenland,Denmark,72,0
,Denmark,23548,14
,Diamond Princess,0,0
,Djibouti,50,1
,Dominica,25,0
,Dominican Republic,16074,123
,Ecuador,28060,10029
,Egypt,2787,334
,El Salvador,7854,254
,Equatorial Guinea,138,1
,Eritrea,519,10
,Estonia,2600,3
,Eswatini,7136,120
,Ethiopia,4315,65
,Fiji,25564,217
,Finland,11661,22
French Guiana,France,2625,40
French Polynesia,France,1041,7
Guadeloupe,France,774,13
Martinique,France,4929,6
Mayotte,France,82,0
New Caledonia,France,5,0
Reunion,France,6648,38
Saint Barthelemy,France,292,0
Saint Pierre and Miquelon,France,2,0
St Martin,France,274,3
Wallis and Futuna,France,0,0
,France,353596,684
,Gabon,330,5
,Gambia,1630,31
,Georgia,55130,526
Baden-Wurttemberg,Germany,4564,130
Bayern,Germany,5611,69
Berlin,Germany,2348,22
Brandenburg,Germany,494,11
Bremen,Germany,389,7
Hamburg,Germany,1458,18
Hessen,Germany,3652,64
Mecklenburg-Vorpommern,Germany,261,23
Niedersachsen,Germany,3714,51
Nordrhein-Westfalen,Germany,9843,140
Rheinland-Pfalz,Germany,2115,16
Saarland,Germany,578,9
Sachsen,Germany,711,52
Sachsen-Anhalt,Germany,264,26
Schleswig-Holstein,Germany,1304,15
Thuringen,Germany,426,46
Unknown,Germany,-919,0
,Ghana,7105,27
,Greece,71722,265
,Grenada,3,0
,Guatemala,73188,1131
,Guinea,2014,57
,Guinea-Bissau,629,7
,Guyana,2381,68
,Haiti,1393,115
,Holy See,0,0
,Honduras,33735,804
,Hungary,1331,34
,Iceland,1402,0
Andaman and Nicobar Islands,India,70,1
Andhra Pradesh,India,75108,651
Arunachal Pradesh,India,12092,55
Assam,India,55829,698
Bihar,India,2779,52
Chandigarh,India,267,3
Chhattisgarh,India,7332,80
Dadra and Nagar Haveli and Daman and Diu,India,89,0
Delhi,India,2069,73
Goa,India,4285,88
Gujarat,India,1293,14
Haryana,India,1218,192
Himachal Pradesh,India,3871,41
Jammu and Kashmir,India,5647,52
Jharkhand,India,1494,16
Karnataka,India,59986,1453
Kerala,India,474456,3478
Ladakh,India,250,5
Lakshadweep,India,387,1
Madhya Pradesh,India,2001,1532
Maharashtra,India,239595,10751
Manipur,India,29033,404
Meghalaya,India,15499,252
Mizoram,India,18593,57
Nagaland,India,2640,72
Odisha,India,65818,1903
Puducherry,India,3540,44
Punjab,India,3231,222
Rajasthan,India,1191,31
Sikkim,India,6088,37
Tamil Nadu,India,77410,1381
Telangana,India,21027,136
Tripura,India,12093,72
Unknown,India,0,0
Uttar Pradesh,India,2208,162
Uttarakhand,India,1782,38
West Bengal,India,27436,414
,Indonesia,1237288,36728
,Iran,684659,6607
,Iraq,282535,1518
,Ireland,29290,35
,Israel,33734,48
Abruzzo,Italy,1393,2
Basilicata,Italy,460,1
Calabria,Italy,2092,27
Campania,Italy,7021,110
Emilia-Romagna,Italy,8046,21
Friuli Venezia Giulia,Italy,1127,1
Lazio,Italy,13207,65
Liguria,Italy,2055,12
Lombardia,Italy,11531,45
Marche,Italy,2002,3
Molise,Italy,219,1
P.A. Bolzano,Italy,503,4
P.A. Trento,Italy,655,1
Piemonte,Italy,3029,3
Puglia,Italy,2808,27
Sardegna,Italy,5119,11
Sicilia,Italy,11708,73
Toscana,Italy,8348,43
Umbria,Italy,1573,5
Valle d'Aosta,Italy,76,0
Veneto,Italy,11588,26
,Jamaica,3071,116
Aichi,Japan,3182,44
Akita,Japan,131,0
Aomori,Japan,210,1
Chiba,Japan,9502,28
Ehime,Japan,179,2
Fukui,Japan,331,1
Fukuoka,Japan,4253,13
Fukushima,Japan,925,1
Gifu,Japan,352,1
Gunma,Japan,859,3
Hiroshima,Japan,693,4
Hokkaido,Japan,3320,25
Hyogo,Japan,3354,8
Ibaraki,Japan,2092,4
Ishikawa,Japan,1250,3
Iwate,Japan,330,1
Kagawa,Japan,210,1
Kagoshima,Japan,321,1
Kanagawa,Japan,17004,38
Kochi,Japan,267,4
Kumamoto,Japan,562,4
Kyoto,Japan,1887,4
Mie,Japan,538,2
Miyagi,Japan,803,1
Miyazaki,Japan,151,0
Nagano,Japan,296,3
Nagasaki,Japan,297,0
Nara,Japan,770,2
Niigata,Japan,662,2
Oita,Japan,195,1
Okayama,Japan,688,1
Okinawa,Japan,4282,49
Osaka,Japan,11534,44
Port Quarantine,Japan,377,1
Saga,Japan,199,0
Saitama,Japan,11262,17
Shiga,Japan,508,3
Shimane,Japan,185,1
Shizuoka,Japan,1631,7
Tochigi,Japan,1335,5
Tokushima,Japan,137,0
Tokyo,Japan,46908,57
Tottori,Japan,318,0
Toyama,Japan,265,0
Unknown,Japan,0,0
Wakayama,Japan,315,0
Yamagata,Japan,133,0
Yamaguchi,Japan,161,3
Yamanashi,Japan,351,0
,Jordan,19816,292
,Kazakhstan,163855,1318
,Kenya,19143,306
,Kiribati,0,0
,"Korea, South",42453,75
,Kosovo,697,7
,Kuwait,40027,349
,Kyrgyzstan,37451,326
,Laos,4422,4
,Latvia,1399,36
,Lebanon,17511,55
,Lesotho,2187,48
,Liberia,1311,20
,Libya,59531,350
,Liechtenstein,57,0
,Lithuania,4243,25
,Luxembourg,2975,4
,MS Zaandam,0,0
,Madagascar,418,28
,Malawi,16272,462
,Maldives,3616,8
,Mali,159,8
,Malta,3748,3
,Marshall Islands,0,0
,Mauritania,5079,78
,Mauritius,2301,2
Aguascalientes,Mexico,1128,24
Baja California,Mexico,1956,174
Baja California Sur,Mexico,9304,443
Campeche,Mexico,2844,144
Chiapas,Mexico,2217,90
Chihuahua,Mexico,2482,87
Ciudad de Mexico,Mexico,100371,977
Coahuila,Mexico,3436,122
Colima,Mexico,3712,42
Durango,Mexico,2819,40
Guanajuato,Mexico,5792,55
Guerrero,Mexico,10052,259
Hidalgo,Mexico,4902,146
Jalisco,Mexico,17542,422
Mexico,Mexico,32704,889
Michoacan,Mexico,4578,188
Morelos,Mexico,2640,82
Nayarit,Mexico,6428,147
Nuevo Leon,Mexico,15637,392
Oaxaca,Mexico,6630,190
Puebla,Mexico,4860,193
Queretaro,Mexico,4182,112
Quintana Roo,Mexico,10629,291
San Luis Potosi,Mexico,5699,72
Sinaloa,Mexico,14831,599
Sonora,Mexico,8869,245
Tabasco,Mexico,10699,155
Tamaulipas,Mexico,7345,241
Tlaxcala,Mexico,1091,49
Unknown,Mexico,0,0
Veracruz,Mexico,14780,509
Yucatan,Mexico,7216,317
Zacatecas,Mexico,2267,90
,Micronesia,0,0
,Moldova,2733,61
,Monaco,311,0
,Mongolia,48247,208
,Montenegro,1820,17
,Morocco,97567,535
,Mozambique,46336,578
,Namibia,28077,1501
,Nepal,56708,730
Aruba,Netherlands,625,3
"Bonaire, Sint Eustatius and Saba",Netherlands,60,0
Curacao,Netherlands,1326,1
Drenthe,Netherlands,2530,0
Flevoland,Netherlands,3050,0
Friesland,Netherlands,4267,5
Gelderland,Netherlands,18232,6
Groningen,Netherlands,7966,2
Limburg,Netherlands,8433,7
Noord-Brabant,Netherlands,25802,5
Noord-Holland,Netherlands,41846,22
Overijssel,Netherlands,10454,6
Sint Maarten,Netherlands,152,1
Unknown,Netherlands,326,1
Utrecht,Netherlands,15835,4
Zeeland,Netherlands,2099,2
Zuid-Holland,Netherlands,41150,21
Cook Islands,New Zealand,0,0
,New Zealand,135,0
,Nicaragua,988,4
,Niger,145,2
,Nigeria,6623,28
,North Macedonia,763,8
,Norway,6344,5
,Oman,26331,710
Azad Jammu and Kashmir,Pakistan,4486,45
Balochistan,Pakistan,3260,19
Gilgit-Baltistan,Pakistan,1973,36
Islamabad,Pakistan,5314,24
Khyber Pakhtunkhwa,Pakistan,6669,144
Punjab,Pakistan,11281,306
Sindh,Pakistan,47027,543
,Palau,0,0
