Province_State,Country_Region,Confirmed,Deaths
,Afghanistan,5448,61
,Albania,48319,129
,Algeria,34702,309
,Andorra,12218,5
,Angola,15828,123
,Antigua and Barbuda,2344,8
,Argentina,2753350,4332
,Armenia,25942,81
Australian Capital Territory,Australia,32104,11
New South Wales,Australia,869983,780
Northern Territory,Australia,24888,2
Queensland,Australia,407612,218
South Australia,Australia,106480,115
Tasmania,Australia,29698,5
Victoria,Australia,686405,517
Western Australia,Australia,407,0
,Austria,587079,378
,Azerbaijan,46382,390
,Bahamas,8130,29
,Bahrain,100071,14
,Bangladesh,226078,349
,Barbados,16406,19
,Belarus,44450,473
Antwerp,Belgium,166981,0
Brussels,Belgium,131699,0
East Flanders,Belgium,144237,0
Flemish Brabant,Belgium,106487,0
Hainaut,Belgium,120350,0
Liege,Belgium,89478,0
Limburg,Belgium,79253,0
Luxembourg,Belgium,25313,0
Namur,Belgium,44102,0
Unknown,Belgium,13031,752
Walloon Brabant,Belgium,40803,0
West Flanders,Belgium,117124,0
,Belize,19164,27
,Benin,1515,2
,Bhutan,2543,1
,Bolivia,259777,1331
,Bosnia and Herzegovina,57782,1056
,Botswana,33527,137
Acre,Brazil,13031,26
Alagoas,Brazil,19624,63
Amapa,Brazil,26055,31
Amazonas,Brazil,100742,126
Bahia,Brazil,96668,474
Ceara,Brazil,174262,526
Distrito Federal,Brazil,92752,78
Espirito Santo,Brazil,235040,232
Goias,Brazil,89190,355
Maranhao,Brazil,17305,118
Mato Grosso,Brazil,76711,269
Mato Grosso do Sul,Brazil,47631,169
Minas Gerais,Brazil,513362,672
Para,Brazil,27707,271
Paraiba,Brazil,34816,126
Parana,Brazil,398259,392
Pernambuco,Brazil,58390,205
Piaui,Brazil,11317,123
Rio Grande do Norte,Brazil,42220,167
Rio Grande do Sul,Brazil,320305,499
Rio de Janeiro,Brazil,419942,450
Rondonia,Brazil,36324,100
Roraima,Brazil,13559,18
Santa Catarina,Brazil,211153,441
Sao Paulo,Brazil,209376,2947
Sergipe,Brazil,17158,46
Tocantins,Brazil,36261,65
,Brunei,1006,0
,Bulgaria,214924,2422
,Burkina Faso,3017,53
,Burma,5447,38
,Burundi,10066,0
,Cabo Verde,13258,44
,Cambodia,883,3
,Cameroon,7351,29
Alberta,Canada,134330,269
British Columbia,Canada,71002,202
Diamond Princess,Canada,0,0
Grand Princess,Canada,0,0
Manitoba,Canada,41035,177
New Brunswick,Canada,14841,83
Newfoundland and Labrador,Canada,12941,21
Northwest Territories,Canada,3844,3
Nova Scotia,Canada,19605,35
Nunavut,Canada,1017,1
Ontario,Canada,243929,1298
Prince Edward Island,Canada,6413,10
Quebec,Canada,244430,1554
Repatriated Travellers,Canada,0,0
Saskatchewan,Canada,34084,38
Yukon,Canada,1373,1
,Central African Republic,1756,9
,Chad,972,6
Antofagasta,Chile,24863,28
Araucania,Chile,19330,20
Arica y Parinacota,Chile,14245,17
Atacama,Chile,7237,9
Aysen,Chile,2812,6
Biobio,Chile,21848,81
Coquimbo,Chile,16018,34
Los Lagos,Chile,11703,58
Los Rios,Chile,7822,29
Magallanes,Chile,8984,17
Maule,Chile,12568,17
Metropolitana,Chile,154770,155
Nuble,Chile,7857,9
OHiggins,Chile,11388,14
Tarapaca,Chile,24311,39
Unknown,Chile,21,0
Valparaiso,Chile,36386,60
Anhui,China,0,0
Beijing,China,140,0
Chongqing,China,2,0
Fujian,China,83,0
Gansu,China,0,0
Guangdong,China,305,0
Guangxi,China,86,0
Guizhou,China,1,0
Hainan,China,0,0
Hebei,China,16,0
Heilongjiang,China,29,0
Henan,China,1014,0
Hong Kong,China,1659,0
Hubei,China,3,0
Hunan,China,8,0
Inner Mongolia,China,5,0
Jiangsu,China,5,0
Jiangxi,China,0,0
Jilin,China,3,0
Liaoning,China,16,0
Macau,China,0,0
Ningxia,China,0,0
Qinghai,China,0,0
Shaanxi,China,484,0
Shandong,China,30,0
Shanghai,China,662,0
Shanxi,China,2,0
Sichuan,China,49,0
Tianjin,China,468,0
Tibet,China,0,0
Unknown,China,1076,0
Xinjiang,China,15,0
Yunnan,China,63,0
Zhejiang,China,208,0
Amazonas,Colombia,339,1
Antioquia,Colombia,108450,765
Arauca,Colombia,748,14
Atlantico,Colombia,49886,127
Bolivar,Colombia,31725,123
Boyaca,Colombia,13841,69
Caldas,Colombia,13523,100
Capital District,Colombia,205501,518
Caqueta,Colombia,1153,21
Casanare,Colombia,3194,14
Cauca,Colombia,12423,85
Cesar,Colombia,9653,53
Choco,Colombia,1701,13
Cordoba,Colombia,11600,74
Cundinamarca,Colombia,34093,107
Guainia,Colombia,151,1
Guaviare,Colombia,254,1
Huila,Colombia,7505,131
La Guajira,Colombia,5616,27
Magdalena,Colombia,10537,51
Meta,Colombia,9682,85
Narino,Colombia,11728,109
Norte de Santander,Colombia,10835,138
Putumayo,Colombia,1855,23
Quindio,Colombia,9924,118
Risaralda,Colombia,14082,101
San Andres y Providencia,Colombia,1477,1
Santander,Colombia,36812,253
Sucre,Colombia,4595,27
Tolima,Colombia,12733,99
Unknown,Colombia,0,251
Valle del Cauca,Colombia,95988,1061
Vaupes,Colombia,50,2
Vichada,Colombia,206,2
,Comoros,1144,3
,Congo (Brazzaville),3616,4
,Congo (Kinshasa),10586,73
,Costa Rica,130915,240
,Cote d'Ivoire,8968,67
,Croatia,224014,1322
,Cuba,79927,84
,Cyprus,90625,96
,Czechia,669818,1061
Faroe Islands,Denmark,14668,5
Greenland,Denmark,8210,5
,Denmark,964653,498
,Diamond Princess,0,0
,Djibouti,1804,0
,Dominica,2525,4
,Dominican Republic,136593,63
,Ecuador,187677,890
,Egypt,41844,915
,El Salvador,13164,84
,Equatorial Guinea,2118,7
,Eritrea,1510,22
,Estonia,101937,99
,Eswatini,2182,67
,Ethiopia,41137,396
,Fiji,8708,101
,Finland,215414,262
French Guiana,France,27611,33
French Polynesia,France,1884,0
Guadeloupe,France,48384,24
Martinique,France,39511,55
Mayotte,France,14450,2
New Caledonia,France,9175,3
Reunion,France,103929,91
Saint Barthelemy,France,1540,0
Saint Pierre and Miquelon,France,834,1
St Martin,France,5189,3
Wallis and Futuna,France,0,0
,France,9131815,7256
,Gabon,5127,13
,Gambia,1693,21
,Georgia,263280,1116
Baden-Wurttemberg,Germany,361874,714
Bayern,Germany,478533,879
Berlin,Germany,212737,114
Brandenburg,Germany,102655,329
Bremen,Germany,40442,52
Hamburg,Germany,114667,149
Hessen,Germany,244079,288
Mecklenburg-Vorpommern,Germany,48517,171
Niedersachsen,Germany,217859,284
Nordrhein-Westfalen,Germany,645632,850
Rheinland-Pfalz,Germany,108393,189
Saarland,Germany,30636,87
Sachsen,Germany,79188,1262
Sachsen-Anhalt,Germany,45368,351
Schleswig-Holstein,Germany,105173,92
Thuringen,Germany,33211,561
Unknown,Germany,43225,0
,Ghana,12923,97
,Greece,724857,2759
,Grenada,6199,10
,Guatemala,65924,293
,Guinea,3718,28
,Guinea-Bissau,1102,7
,Guyana,20330,117
,Haiti,3336,31
,Holy See,2,0
,Honduras,12472,79
,Hungary,306412,2285
,Iceland,42118,9
Andaman and Nicobar Islands,India,2093,0
Andhra Pradesh,India,205262,125
Arunachal Pradesh,India,7313,6
Assam,India,96977,316
Bihar,India,97448,128
Chandigarh,India,23679,46
Chhattisgarh,India,120638,268
Dadra and Nagar Haveli and Daman and Diu,India,642,0
Delhi,India,382024,784
Goa,India,58634,177
Gujarat,India,336196,392
Haryana,India,178086,256
Himachal Pradesh,India,44012,130
Jammu and Kashmir,India,96717,153
Jharkhand,India,76426,159
Karnataka,India,815463,716
Kerala,India,827944,7565
Ladakh,India,3979,6
Lakshadweep,India,704,1
Madhya Pradesh,India,179655,91
Maharashtra,India,1047490,1172
Manipur,India,7776,48
Meghalaya,India,6548,45
Mizoram,India,35846,69
Nagaland,India,2323,34
Odisha,India,197194,167
Puducherry,India,32391,54
Punjab,India,140003,647
