Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,LoanAmount_log,ApplicantIncome_log,TotalIncome
LP001924,Male,No,0,Graduate,No,3158,3053.0,360.0,1.0,Rural,Y,4.48863636973214,8.057694194815587,6211.0
LP002055,Female,No,0,Graduate,No,3166,2985.0,360.0,,Rural,Y,4.882801922586371,8.060224240440958,6151.0
LP002537,Male,Yes,0,Graduate,No,2083,3150.0,360.0,1.0,Semiurban,Y,4.852030263919617,7.641564441260972,5233.0
LP001594,Male,Yes,0,Graduate,No,5708,5625.0,360.0,1.0,Semiurban,Y,5.231108616854587,8.649623978596727,11333.0
LP002683,Male,No,0,Graduate,No,4683,1915.0,360.0,1.0,Semiurban,N,5.220355825078324,8.451694209183541,6598.0
LP001658,Male,No,0,Graduate,No,3858,0.0,360.0,1.0,Semiurban,Y,4.330733340286331,8.257904193465674,3858.0
LP001711,Male,Yes,3+,Graduate,No,3430,1250.0,360.0,0.0,Semiurban,N,4.852030263919617,8.140315540159985,4680.0
LP001333,Male,Yes,0,Graduate,No,1977,997.0,360.0,1.0,Semiurban,Y,3.912023005428146,7.589335823170617,2974.0
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,360.0,1.0,Rural,N,5.220355825078324,8.525558107747866,7125.0
LP002836,Male,No,0,Graduate,No,3333,0.0,360.0,1.0,Urban,Y,4.248495242049359,8.11162807830774,3333.0
LP001907,Male,Yes,0,Graduate,No,14583,0.0,360.0,1.0,Semiurban,Y,6.077642243349034,9.587611745713565,14583.0
LP002250,Male,Yes,0,Graduate,No,5488,0.0,360.0,1.0,Rural,Y,4.8283137373023015,8.610319169405722,5488.0
LP002501,,Yes,0,Graduate,No,16692,0.0,360.0,1.0,Semiurban,Y,4.700480365792417,9.722684841711443,16692.0
LP001798,Male,Yes,2,Graduate,No,5819,5000.0,360.0,1.0,Rural,Y,4.787491742782046,8.66888370465667,10819.0
LP002068,Male,No,0,Graduate,No,4917,0.0,360.0,0.0,Rural,Y,4.867534450455582,8.50045386741194,4917.0
LP002239,Male,No,0,Not Graduate,No,2346,1600.0,360.0,1.0,Semiurban,Y,4.882801922586371,7.76046702921342,3946.0
LP001891,Male,Yes,0,Graduate,No,11146,0.0,360.0,1.0,Urban,Y,4.912654885736052,9.318835968129482,11146.0
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,360.0,1.0,Urban,Y,4.897839799950911,8.056109659545061,4713.0
LP001669,Female,No,0,Not Graduate,No,1907,2365.0,,1.0,Urban,Y,4.787491742782046,7.553286605600419,4272.0
LP001531,Male,No,0,Graduate,No,9166,0.0,360.0,1.0,Urban,N,5.497168225293202,9.123256265069069,9166.0
LP001825,Male,Yes,0,Graduate,No,1809,1868.0,360.0,1.0,Urban,Y,4.499809670330265,7.500529485395295,3677.0
LP002892,Male,Yes,2,Graduate,No,6540,0.0,360.0,1.0,Semiurban,Y,5.3230099791384085,8.785692444451245,6540.0
LP002487,Male,Yes,0,Graduate,No,3015,2188.0,360.0,1.0,Rural,Y,5.030437921392435,8.011355109161286,5203.0
LP002500,Male,Yes,3+,Not Graduate,No,2947,1664.0,180.0,0.0,Urban,N,4.248495242049359,7.988542982737695,4611.0
LP001073,Male,Yes,2,Not Graduate,No,4226,1040.0,360.0,1.0,Urban,Y,4.700480365792417,8.349011198176003,5266.0
LP002820,Male,Yes,0,Graduate,No,5923,2054.0,360.0,1.0,Rural,Y,5.351858133476067,8.686598356276965,7977.0
LP001350,Male,Yes,,Graduate,No,13650,0.0,360.0,1.0,Urban,Y,4.984280948055957,9.521494800613105,13650.0
LP002536,Male,Yes,3+,Not Graduate,No,3095,0.0,360.0,1.0,Rural,Y,4.727387818712341,8.037543185118697,3095.0
LP002505,Male,Yes,0,Graduate,No,4333,2451.0,360.0,1.0,Urban,N,4.700480365792417,8.374015421739909,6784.0
LP001606,Male,Yes,0,Graduate,No,3497,1964.0,360.0,1.0,Rural,Y,4.7535901911063645,8.159660737063376,5461.0
LP001562,Male,Yes,0,Graduate,No,7933,0.0,360.0,1.0,Urban,N,5.616771097666572,8.978786553302003,7933.0
LP001137,Female,No,0,Graduate,No,3410,0.0,,1.0,Urban,Y,4.477336814478207,8.134467570277563,3410.0
LP002586,Female,Yes,1,Graduate,No,3326,913.0,84.0,1.0,Semiurban,Y,4.653960350157523,8.109525659752872,4239.0
LP002943,Male,No,,Graduate,No,2987,0.0,360.0,0.0,Semiurban,N,4.477336814478207,8.00202481821611,2987.0
LP002408,Male,No,0,Graduate,No,3660,5064.0,360.0,1.0,Semiurban,Y,5.231108616854587,8.205218426395412,8724.0
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,360.0,1.0,Rural,Y,4.859812404361672,7.79934339821592,5772.0
LP001028,Male,Yes,2,Graduate,No,3073,8106.0,360.0,1.0,Urban,Y,5.298317366548036,8.030409562130485,11179.0
LP001765,Male,Yes,1,Graduate,No,2491,2054.0,360.0,1.0,Semiurban,Y,4.6443908991413725,7.820439515262181,4545.0
LP002100,Male,No,,Graduate,No,2833,0.0,360.0,1.0,Urban,Y,4.2626798770413155,7.949091499830517,2833.0
LP002447,Male,Yes,2,Not Graduate,No,1958,1456.0,300.0,,Urban,Y,4.0943445622221,7.579678823090456,3414.0
LP001164,Female,No,0,Graduate,No,4230,0.0,360.0,1.0,Semiurban,N,4.718498871295094,8.349957272040324,4230.0
LP001098,Male,Yes,0,Graduate,No,3500,1667.0,360.0,1.0,Semiurban,Y,4.736198448394496,8.160518247477505,5167.0
LP002637,Male,No,0,Not Graduate,No,3598,1287.0,360.0,1.0,Rural,N,4.605170185988092,8.188133414510478,4885.0
LP001872,Male,No,0,Graduate,Yes,5166,0.0,360.0,1.0,Semiurban,Y,4.852030263919617,8.549853973655786,5166.0
LP001996,Male,No,0,Graduate,No,20233,0.0,360.0,1.0,Rural,N,6.173786103901937,9.915070213779195,20233.0
LP002855,Male,Yes,2,Graduate,No,16666,0.0,360.0,1.0,Urban,Y,5.616771097666572,9.721125994942152,16666.0
LP001749,Male,Yes,0,Graduate,No,7578,1010.0,,1.0,Semiurban,Y,5.1647859739235145,8.933004591578547,8588.0
LP001256,Male,No,0,Graduate,No,3750,4750.0,360.0,1.0,Urban,N,5.170483995038151,8.229511118964457,8500.0
LP002978,Female,No,0,Graduate,No,2900,0.0,360.0,1.0,Rural,Y,4.2626798770413155,7.9724660159745655,2900.0
LP002209,Female,No,0,Graduate,No,2764,1459.0,360.0,1.0,Urban,Y,4.700480365792417,7.92443418488756,4223.0
LP002364,Male,Yes,0,Graduate,No,14880,0.0,360.0,1.0,Semiurban,Y,4.564348191467836,9.607773308387083,14880.0
LP001892,Male,No,0,Graduate,No,2833,1857.0,360.0,1.0,Rural,Y,4.836281906951478,7.949091499830517,4690.0
LP001095,Male,No,0,Graduate,No,3167,0.0,360.0,1.0,Urban,N,4.30406509320417,8.06054004653864,3167.0
LP002390,Male,No,0,Graduate,No,3750,0.0,360.0,1.0,Urban,Y,4.605170185988092,8.229511118964457,3750.0
LP001222,Female,No,0,Graduate,No,4166,0.0,360.0,0.0,Semiurban,N,4.7535901911063645,8.334711621820917,4166.0
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,360.0,1.0,Urban,Y,4.394449154672439,8.09346227450118,5093.0
LP002367,Female,No,1,Not Graduate,No,4606,0.0,360.0,1.0,Rural,N,4.394449154672439,8.43511508038063,4606.0
LP001994,Female,No,0,Graduate,No,2400,1863.0,360.0,0.0,Urban,N,4.6443908991413725,7.783224016336037,4263.0
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,360.0,1.0,Rural,Y,5.0238805208462765,7.854381210652365,6327.0
LP002979,Male,Yes,3+,Graduate,No,4106,0.0,180.0,1.0,Rural,Y,3.6888794541139363,8.32020459757888,4106.0
LP001052,Male,Yes,1,Graduate,No,3717,2925.0,360.0,,Semiurban,N,5.017279836814924,8.220672170297252,6642.0
LP001963,Male,Yes,1,Graduate,No,2014,2925.0,360.0,1.0,Urban,N,4.727387818712341,7.607878073278507,4939.0
LP002777,Male,Yes,0,Graduate,No,2785,2016.0,360.0,1.0,Rural,Y,4.700480365792417,7.932003152361385,4801.0
LP001653,Male,No,0,Not Graduate,No,4885,0.0,360.0,1.0,Rural,Y,3.871201010907891,8.493924564476883,4885.0
LP002211,Male,Yes,0,Graduate,No,4817,923.0,180.0,1.0,Urban,Y,4.787491742782046,8.479906606630221,5740.0
LP002318,Female,No,1,Not Graduate,Yes,3867,0.0,360.0,1.0,Semiurban,N,4.127134385045092,8.260234291607297,3867.0
LP002533,Male,Yes,2,Graduate,No,2947,1603.0,360.0,1.0,Urban,N,4.984280948055957,7.988542982737695,4550.0
LP002103,,Yes,1,Graduate,Yes,9833,1833.0,180.0,1.0,Urban,Y,5.204006687076795,9.193499354780156,11666.0
LP001034,Male,No,1,Not Graduate,No,3596,0.0,240.0,,Urban,Y,4.605170185988092,8.18757739559151,3596.0
LP001656,Male,No,0,Graduate,No,12000,0.0,360.0,1.0,Semiurban,N,5.099866427824199,9.392661928770137,12000.0
LP001896,Male,Yes,2,Graduate,No,3900,0.0,360.0,1.0,Semiurban,Y,4.499809670330265,8.268731832117737,3900.0
